metric_fname_dl,metric_fname_jw,metric_fname_soundex,metric_lname_dl,metric_lname_jw,metric_lname_soundex,metric_gender_code_ff,metric_gender_code_mm,metric_gender_code_same,metric_race_code_same,metric_race_code_ww_bb,metric_year_diff_abs,metric_age,metric_ffreq_mean,metric_lfreq_mean,match
2,0.33333333333333337,0,8,0.48809523809523814,1,2,0,TRUE,TRUE,TRUE,23,43,0.7468350716090301,-0.4009856393576133,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,80,-0.7688747721914923,-0.3421013329215393,match
2,0.15079365079365092,0,6,0.5634920634920635,1,2,0,TRUE,TRUE,TRUE,3,29,-0.6655489932340578,-0.650178364367651,unmatch
4,0.2738095238095237,0,7,0.5099206349206349,1,0,2,TRUE,TRUE,TRUE,15,59,-0.30936852331841663,1.6917329403139405,unmatch
0,0,0,7,0.5583333333333333,1,2,0,TRUE,TRUE,TRUE,4,34,0.1953933298525941,0.38738318259684174,unmatch
3,0.3666666666666667,0,5,0.3238095238095239,1,2,0,TRUE,TRUE,TRUE,8,67,-0.5011452201759605,0.22284508804357167,unmatch
0,0,0,7,1,1,2,0,TRUE,FALSE,FALSE,7,31,0.20979243242429355,-0.28727335660938147,unmatch
0,0,0,7,1,1,2,0,TRUE,TRUE,TRUE,0,26,-0.6362760266614955,0.6549972316238889,match
0,0,0,7,0.5583333333333333,1,2,0,TRUE,TRUE,TRUE,2,26,-0.5256715695133508,-0.10941276890464482,unmatch
0,0,0,5,0.5,1,2,0,TRUE,TRUE,TRUE,7,35,-0.577730093516371,-0.04915562641716781,unmatch
0,0,0,5,0.4380952380952381,1,0,2,TRUE,TRUE,TRUE,22,41,2.1316829735606406,-0.2114462226367952,unmatch
0,0,0,8,0.48809523809523814,1,0,2,TRUE,TRUE,TRUE,3,64,-0.6070030600889332,-0.47237194227971074,unmatch
0,0,0,11,1,1,2,0,TRUE,TRUE,TRUE,8,65,1.386882993905911,-0.14866808292719447,unmatch
3,0.2666666666666666,0,8,0.4916666666666667,1,1,1,FALSE,TRUE,TRUE,5,55,-0.43120700684383806,-0.648423698194174,unmatch
3,0.20952380952380956,0,8,0.562962962962963,1,2,0,TRUE,TRUE,TRUE,8,75,-0.2109476154058755,-0.7528156522980587,unmatch
0,0,0,6,0.43492063492063504,1,2,0,TRUE,TRUE,TRUE,13,28,0.2836869909994445,-0.6112507148503787,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,69,-0.7541591620003505,-0.7598884826087631,match
0,0,0,7,0.5583333333333333,1,2,0,TRUE,TRUE,TRUE,0,56,-0.2465497373108213,1.0865997066227449,match
2,0.1777777777777778,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,82,-0.0038222931183052866,1.00704390703152,match
2,0.21666666666666667,0,9,0.587962962962963,1,2,0,TRUE,TRUE,TRUE,9,54,-0.3612677964552536,0.2919243854062322,unmatch
4,0.33333333333333337,0,6,0.5555555555555556,1,2,0,TRUE,TRUE,TRUE,29,76,-0.5858000407556868,-0.7541316519281664,unmatch
0,0,0,6,0.4722222222222223,1,2,0,TRUE,TRUE,TRUE,0,44,-0.18737078892681208,0.6109139148197785,match
0,0,0,8,1,1,2,0,TRUE,TRUE,TRUE,0,49,0.5552136373918214,0.04415866206439406,match
0,0,0,5,0.46825396825396826,1,2,0,TRUE,TRUE,TRUE,0,33,-0.7688747721914923,0.3049192140524214,match
0,0,0,7,1,1,0,2,TRUE,TRUE,TRUE,13,55,2.732965691871077,-0.4012049726292979,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,56,2.4244126392862637,-0.8120844596607055,match
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,76,-0.7100123314269253,-0.6939855114787813,match
1,0.04761904761904767,0,8,0.5694444444444445,1,0,2,TRUE,TRUE,TRUE,4,55,0.7996848646606558,-0.10815093489133351,unmatch
3,0.21746031746031746,0,8,0.6640211640211641,1,2,0,TRUE,TRUE,TRUE,9,23,-0.7250444492375093,0.0862138138065463,unmatch
0,0,0,0,0,0,1,1,FALSE,TRUE,TRUE,0,79,-0.7688747721914923,0.5445722771464274,match
4,0.44444444444444453,0,8,1,1,2,0,TRUE,TRUE,TRUE,12,82,-0.5986166052301749,-0.1651180783035412,unmatch
2,0.21666666666666667,0,6,0.5444444444444445,1,1,1,FALSE,TRUE,TRUE,14,58,-0.6293138560902275,-0.3678148205209377,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,37,-0.702733653236215,-0.7859864711347343,match
